Distance,Intensity
0.000,65519.0000
0.087,65523.0117
0.173,65534.9297
0.260,65530.9648
0.347,65533.9453
0.433,65522.0664
0.520,65518.9531
0.607,65528.0469
0.693,65534.0078
0.780,65517.1602
0.867,65534.7109
0.953,65516.0234
1.040,65523.1211
1.127,65522.0664
1.213,65528.8867
1.300,65519.1953
1.387,65524.8242
1.473,65508.0352
1.560,65523.8906
1.647,65516.1328
1.733,65503.4375
1.820,65525.1250
1.907,65516.0000
1.993,65515.4570
2.080,65529.8086
2.167,65526.2227
2.253,65510.6484
2.340,65534.8125
2.427,65511.5039
2.513,65508.3750
2.600,65534.8789
2.687,65524.3516
2.773,65513.1914
2.860,65518.6055
2.947,65535.0000
3.033,65533.0703
3.120,65523.4258
3.207,65520.5547
3.293,65534.4688
3.380,65516.6211
3.467,65516.2773
3.553,65525.0000
3.640,65534.0781
3.727,65510.1719
3.813,65512.4805
3.900,65529.0156
3.987,65512.8242
4.073,65511.1250
4.160,65520.1445
4.247,65504.5625
4.334,65528.1523
4.420,65515.1016
4.507,65528.1719
4.594,65518.6328
4.680,65534.3555
4.767,65500.1523
4.854,65519.9453
4.940,65526.3398
5.027,65528.7305
5.114,65525.2969
5.200,65521.8789
5.287,65511.2148
5.374,65523.5078
5.460,65521.3711
5.547,65516.7031
5.634,65511.2930
5.720,65532.8164
5.807,65528.5312
5.894,65529.0664
5.980,65534.0703
6.067,65514.5820
6.154,65520.4258
6.240,65508.7812
6.327,65520.1641
6.414,65509.1055
6.500,65534.4766
6.587,65523.4688
6.674,65522.0781
6.760,65523.2891
6.847,65510.7852
6.934,65512.2383
7.020,65503.7266
7.107,65521.7734
7.194,65524.0156
7.280,65511.7539
7.367,65521.0703
7.454,65510.4570
7.540,65505.9141
7.627,65508.9492
7.714,65510.0898
7.800,65494.0742
7.887,65496.3633
7.974,65503.9922
8.060,65493.3906
8.147,65489.5898
8.234,65496.6641
8.320,65496.0859
8.407,65490.1914
8.494,65498.0234
8.580,65500.0977
8.667,65495.1953
8.754,65497.3008
8.840,65495.8984
8.927,65494.2070
9.014,65501.9648
9.100,65512.2109
9.187,65503.1562
9.274,65501.0000
9.360,65509.0312
9.447,65512.7812
9.534,65506.3438
9.620,65491.4375
9.707,65503.5586
9.794,65508.0000
9.880,65503.7930
9.967,65522.3945
10.054,65518.6875
10.140,65494.4648
10.227,65509.0586
10.314,65501.8281
10.400,65510.5234
10.487,65516.0703
10.574,65522.1211
10.660,65514.3672
10.747,65502.5820
10.834,65519.7500
10.920,65506.8789
11.007,65510.8750
11.094,65508.5977
11.180,65514.2305
11.267,65521.4805
11.354,65519.2188
11.440,65509.9219
11.527,65524.8086
11.614,65503.2031
11.700,65520.4453
11.787,65505.8438
11.874,65509.3633
11.960,65506.1758
12.047,65522.0000
12.134,65519.5820
12.220,65507.0000
12.307,65512.4336
12.394,65522.7227
12.480,65504.4258
12.567,65513.2891
12.654,65508.4180
12.741,65506.5352
12.827,65514.5898
12.914,65520.8047
13.001,65505.8945
13.087,65510.9023
13.174,65496.7891
13.261,65515.2383
13.347,65517.5391
13.434,65513.5312
13.521,65513.8242
13.607,65501.0000
13.694,65502.8438
13.781,65500.9023
13.867,65518.3633
13.954,65499.3203
14.041,65518.6445
14.127,65516.0781
14.214,65518.9805
14.301,65509.3555
14.387,65515.5117
14.474,65512.5078
14.561,65502.0195
14.647,65504.5352
14.734,65513.1523
14.821,65505.2969
14.907,65519.1445
14.994,65515.4844
15.081,65518.6133
15.167,65503.4414
15.254,65503.9805
15.341,65515.4727
15.427,65518.7578
15.514,65510.2461
15.601,65501.2266
15.687,65498.8828
15.774,65500.1797
