Distance,Intensity
0.000,65535.0000
0.087,65520.9844
0.173,65524.9883
0.260,65533.9688
0.347,65517.9844
0.433,65515.0156
0.520,65518.8906
0.607,65512.0195
0.693,65524.9141
0.780,65523.1094
0.867,65524.0703
0.953,65534.8672
1.040,65512.2148
1.127,65527.9727
1.213,65527.8320
1.300,65510.3281
1.387,65514.9844
1.473,65527.8320
1.560,65524.7305
1.647,65526.8867
1.733,65534.6211
1.820,65520.2930
1.907,65531.9766
1.993,65520.8398
2.080,65532.9062
2.167,65514.8516
2.253,65514.0508
2.340,65521.1328
2.427,65519.2227
2.513,65509.4922
2.600,65498.1367
2.687,65519.2461
2.773,65524.2852
2.860,65530.8359
2.947,65505.9805
3.033,65527.6875
3.120,65532.7852
3.207,65535.0000
3.293,65514.8125
3.380,65518.7656
3.467,65523.2031
3.553,65509.6953
3.640,65516.3320
3.727,65535.0000
3.813,65523.8242
3.900,65514.0898
3.987,65534.1289
4.073,65527.5781
4.160,65520.2383
4.247,65521.7578
4.334,65534.8008
4.420,65510.4570
4.507,65521.3125
4.594,65522.0547
4.680,65527.8711
4.767,65509.4375
4.854,65534.1641
4.940,65517.1719
5.027,65534.7109
5.114,65514.3516
5.200,65520.8203
5.287,65529.1484
5.374,65527.4922
5.460,65523.1875
5.547,65525.6406
5.634,65531.1602
5.720,65509.4609
5.807,65506.5352
5.894,65534.3242
5.980,65511.7188
6.067,65518.3047
6.154,65520.3633
6.240,65529.4258
6.327,65522.9258
6.414,65520.1797
6.500,65527.9258
6.587,65524.8320
6.674,65519.3086
6.760,65531.8359
6.847,65529.6055
6.934,65524.0000
7.020,65503.2109
7.107,65523.3672
7.194,65506.7539
7.280,65512.2461
7.367,65504.6445
7.454,65507.0273
7.540,65515.9141
7.627,65502.3164
7.714,65502.2422
7.800,65507.0742
7.887,65501.3672
7.974,65501.8164
8.060,65506.0938
8.147,65494.8125
8.234,65505.4336
8.320,65501.6602
8.407,65505.0000
8.494,65492.7812
8.580,65494.2969
8.667,65492.9961
8.754,65503.4023
8.840,65503.3750
8.927,65493.7188
9.014,65499.6875
9.100,65503.1523
9.187,65504.1562
9.274,65494.1055
9.360,65505.2461
9.447,65510.4570
9.534,65511.2461
9.620,65488.1055
9.707,65500.0039
9.794,65509.0977
9.880,65513.1367
9.967,65514.1680
10.054,65530.4570
10.140,65515.7188
10.227,65515.5312
10.314,65531.4453
10.400,65513.5234
10.487,65516.7930
10.574,65523.5156
10.660,65505.1406
10.747,65495.7305
10.834,65512.1328
10.920,65521.1172
11.007,65496.8984
11.094,65519.9414
11.180,65488.9570
11.267,65530.0234
11.354,65520.4336
11.440,65519.6836
11.527,65514.5898
11.614,65487.3359
11.700,65506.2266
11.787,65499.6250
11.874,65503.9102
11.960,65514.4883
12.047,65504.3828
12.134,65511.6953
12.220,65503.0156
12.307,65523.7266
12.394,65517.1445
12.480,65501.7266
12.567,65508.7344
12.654,65508.0352
12.741,65515.9492
12.827,65503.7695
12.914,65518.1094
13.001,65500.5977
13.087,65520.5391
13.174,65496.8477
13.261,65513.2578
13.347,65516.7656
13.434,65511.5352
13.521,65511.2695
13.607,65512.5312
13.694,65519.2227
13.781,65519.5742
13.867,65515.6641
13.954,65516.5938
14.041,65505.9688
14.127,65508.3750
14.214,65501.9219
14.301,65505.4922
14.387,65509.1797
14.474,65533.0039
14.561,65521.0000
14.647,65507.6914
14.734,65511.8320
14.821,65504.5547
14.907,65510.3438
14.994,65508.7617
15.081,65511.6289
15.167,65523.2578
15.254,65509.4727
15.341,65502.4688
15.427,65515.4180
15.514,65510.6445
15.601,65509.0742
15.687,65502.9844
15.774,65506.4453
15.861,65516.0000
15.947,65511.3164
16.034,65509.4727
16.121,65527.7383
16.207,65524.3906
16.294,65514.2539
16.381,65514.9297
16.467,65507.7305
16.554,65519.2383
16.641,65507.3398
16.727,65517.4219
16.814,65513.0352
16.901,65506.3320
16.987,65507.2422
17.074,65505.1758
17.161,65502.3672
17.247,65511.7852
17.334,65516.2109
17.421,65499.2031
17.507,65510.1875
17.594,65505.1797
17.681,65500.6094
17.767,65497.8594
17.854,65499.2070
17.941,65503.1758
18.027,65497.3789
18.114,65496.5430
18.201,65497.6992
18.287,65500.8984
18.374,65490.8438
18.461,65495.4258
18.547,65499.0000
18.634,65497.2148
18.721,65502.4805
18.807,65500.5938
18.894,65487.3867
18.981,65509.3086
19.067,65503.0000
19.154,65503.5781
19.241,65504.9805
19.327,65515.9961
19.414,65505.6602
19.501,65507.5195
19.587,65516.1250
19.674,65510.0352
19.761,65512.8633
19.847,65505.7188
19.934,65514.9180
20.021,65518.9219
20.107,65512.3086
20.194,65524.2695
20.281,65519.6992
20.367,65518.7852
20.454,65513.2305
20.541,65524.9883
20.627,65518.0508
20.714,65514.0938
20.801,65520.8906
20.888,65520.3594
20.974,65523.5977
21.061,65528.7266
21.148,65521.5977
21.234,65528.2188
21.321,65512.1445
21.408,65528.8477
21.494,65521.5195
21.581,65529.7930
21.668,65528.0273
21.754,65513.7500
21.841,65525.0000
21.928,65524.9922
22.014,65519.9766
22.101,65524.6992
22.188,65519.3164
22.274,65509.0703
22.361,65519.0547
22.448,65517.4531
22.534,65516.8555
22.621,65524.0781
22.708,65514.4336
22.794,65516.5000
22.881,65517.2617
22.968,65504.3750
23.054,65509.9727
23.141,65512.2656
23.228,65526.2031
23.314,65525.0703
23.401,65504.0000
23.488,65515.7305
23.574,65512.7305
23.661,65509.4375
23.748,65523.0039
23.834,65522.3711
23.921,65516.2227
24.008,65528.6562
24.094,65532.7852
24.181,65528.4414
24.268,65527.2578
24.354,65502.3164
24.441,65517.0547
24.528,65527.4375
24.614,65519.5469
24.701,65508.7148
24.788,65521.2969
24.874,65525.4258
24.961,65523.8359
25.048,65520.1211
25.134,65527.2031
25.221,65509.6367
25.308,65517.3477
25.394,65520.8320
25.481,65522.5586
25.568,65522.0000
25.654,65517.3477
25.741,65504.9297
25.828,65526.2500
25.914,65523.9375
26.001,65517.6758
26.088,65521.4023
26.174,65518.6016
26.261,65525.0195
26.348,65516.7344
26.434,65526.6094
26.521,65526.4766
26.608,65512.3633
